GC164Z9;TP65- E tudo o vento levou [Cabeco de Montachique];LISBOA;btrodrigues;38.898417;-9.194083;TRADITIONAL;SMALL;1.5;3;AVAILABLE;2007/09/23;592;21;45;-9999999
GC105X2;Vilar Maior [Sabugal];GUARDA;HDV;40.476367;-6.940467;MULTI;LARGE;3;3;AVAILABLE;2007/01/03;40;8;3;775
GC15E3K;Colcurinho [Oliveira do Hospital];COIMBRA;team.fafnir;40.27795;-7.830183;MULTI;REGULAR;2;2;AVAILABLE;2007/08/26;130;6;37;650
GCXNNF;Alto da Lomba;COIMBRA;ReDaLeRt_PT;40.324517;-7.802433;TRADITIONAL;REGULAR;2.5;2.5;AVAILABLE;2006/08/10;103;7;0;649
GC1119W;Serra Sagrada de Grandola;SETUBAL;os_cinco_airados;38.16815;-8.585267;TRADITIONAL;SMALL;1;1.5;AVAILABLE;2007/02/19;251;2;4;139
GC154CN;My Precious...;SANTAREM;tiand;39.551367;-8.293983;TRADITIONAL;REGULAR;3;5;AVAILABLE;2007/07/31;269;5;23;-9999999
GC15BBE;Passaro de Chuva;LISBOA;Kelux;38.752683;-9.263217;TRADITIONAL;MICRO;2;1.5;AVAILABLE;2007/08/22;877;25;1;-9999999
GCT5Z4;Maunca;LEIRIA;SERGIO CRUZ;39.672417;-8.758883;TRADITIONAL;REGULAR;1;4.5;AVAILABLE;2006/01/25;226;11;7;404
GCQGW1;Sudokache;LISBOA;B.O.D.A.;38.8;-9.216667;PUZZLE;SMALL;3;2.5;AVAILABLE;2005/09/11;222;15;7;233
GC17AKM;Forte do Cavalo - Farois de Portugal;SETUBAL;PPereira;38.43465;-9.116317;TRADITIONAL;REGULAR;2;2.5;AVAILABLE;2007/11/10;849;15;1;8
GC14RQQ;Into the Unknown [Torredeita, Viseu];VISEU;Bringer;40.634539;-8.028031;MULTI;REGULAR;2;3.5;AVAILABLE;2007/07/28;67;7;3;420
GC15APY;A cache no centro [Charneca Caparica];SETUBAL;almeidara;38.589833;-9.198667;PUZZLE;MICRO;2.5;1.5;AVAILABLE;2007/08/21;175;8;2;63
GCRTE1;Vila da Povoa de Mon Real;LEIRIA;CastorSereno;39.85015;-8.856167;TRADITIONAL;MICRO;2.5;1.5;AVAILABLE;2005/12/31;695;39;5;38
GC11AJM;S. Miguel do Rio Torto 1 (Abrantes);SANTAREM;Akagi;39.441933;-8.20435;MULTI;REGULAR;2;3;AVAILABLE;2007/03/08;141;5;8;42
GC177PC;Barragem do Enxoe [Pias];BEJA;BMRatinho;37.995083;-7.4621;TRADITIONAL;REGULAR;2;1.5;AVAILABLE;2007/11/06;179;0;1;-9999999
GC15861;Miradouro de Senharei  [Arcos de Valdevez];VIANA DO CASTELO;Jafqa;41.8917;-8.4827;TRADITIONAL;SMALL;2;3;AVAILABLE;2007/08/18;179;2;2;536
GC11BE;LIS Spotter's Place;LISBOA;dmatos;38.7801;-9.140717;VIRTUAL;VIRTUAL;2;3;AVAILABLE;2001/07/21;1202;3;58;117
GC16JGV;O Mar Salgado...;LISBOA;Team Ferreira;38.825517;-9.4694;MULTI;SMALL;1.5;2;AVAILABLE;2007/10/10;240;12;5;3
GCV43A;GnE IV - Regueira [Rio Maior];SANTAREM;TattaTeam;39.365717;-8.948267;TRADITIONAL;LARGE;1.5;2.5;AVAILABLE;2006/03/28;341;8;2;104
GC123K9;PR1 Rota dos Laranjais;VISEU;almeidara;40.553933;-8.157967;TRADITIONAL;REGULAR;2;2;AVAILABLE;2007/04/11;152;8;5;-9999999
GC15CA3;AVENTURA NO RIO oLO;PORTO;eterlusitano;41.3073;-8.003233;TRADITIONAL;SMALL;2.5;3;AVAILABLE;2007/08/24;22;5;4;133
GCX9VK;Sesimbra's Castle [Sesimbra];SETUBAL;CrisLuiz;38.452783;-9.106333;MULTI;REGULAR;1.5;2;AVAILABLE;2006/07/23;697;16;18;211
GC15386;Penedo do Eido;VIANA DO CASTELO;Fernando Rei;41.799067;-8.273667;TRADITIONAL;REGULAR;3;3;AVAILABLE;2007/08/11;50;1;14;675
GC14Z6Y;VISTAS DE S. DOMINGOS ;AVEIRO;eterlusitano;41.0271;-8.351633;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2007/08/06;152;15;12;390
GCVJ73;Penedo da Amizade [Sintra];LISBOA;play mobil;38.792083;-9.390833;TRADITIONAL;REGULAR;2;3.5;AVAILABLE;2006/04/24;596;32;147;370
GC12DVZ;Barquinha e o Tejo aqui ao lado;SANTAREM;Paulo Martins;39.457333;-8.432383;MULTI;REGULAR;1.5;1;AVAILABLE;2007/04/24;490;32;7;25
GC161R7;Palacio Real [Vendas Novas];EVORA;AnitaLune;38.678267;-8.457033;TRADITIONAL;SMALL;2.5;1;AVAILABLE;2007/09/18;614;42;24;149
GC176YG;Poco das Pias;GUARDA;nmcouto;40.4558;-7.395583;TRADITIONAL;REGULAR;4;4.5;AVAILABLE;2007/11/05;47;3;1;917
GC16AZ6;AA13 - A Nossa Praia [Praia do Pedrogao];LEIRIA;Paulo_Domingues;39.91605;-8.954717;TRADITIONAL;SMALL;2.5;2;AVAILABLE;2007/09/30;820;30;1;2
